Designator,Mid X,Mid Y,Rotation,Layer
C1,126.75,-84.0,180.0,top
C2,136.75,-94.0,0.0,top
C3,126.75,-94.0,180.0,top
C4,136.75,-104.0,0.0,top
C5,126.75,-104.0,180.0,top
C6,136.75,-84.0,0.0,top
J2,144.975,-101.0625,270.0,top
J3,95.025,-94.5875,90.0,top
J4,144.975,-85.8125,270.0,top
J7,120.04,-60.41,0.0,top
R1,135.694077,-63.694077,315.0,top
R2,143.305923,-71.305923,135.0,top
SW1,127.96,-112.5,90.0,top
U1,109.38,-90.3,0.0,top
U2,132.19,-73.19,90.0,top
