Designator,Footprint,Quantity,Value,LCSC Part #
J3,JST_XA_B07B-XASK-1-A_1x07_P2.50mm_Vertical,1,Conn_01x07,
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",Vishay_MINIMOLD-3Pin,16,TSSP58038,
U17,BOB-09056,1,~,
