Designator,Mid X,Mid Y,Rotation,Layer
J1,104.12,-90.915,180.0,top
J2,104.755,-39.37,90.0,top
J6,130.285,-59.71,270.0,top
J7,79.265,-59.67,90.0,top
J8,130.285,-82.61,270.0,top
J9,79.265,-82.57,90.0,top
Q1,104.775,-72.39,0.0,bottom
R1,110.49,-45.72,180.0,top
SW1,81.265,-71.12,90.0,top
U1,116.84,-61.695,180.0,top
U2,92.71,-57.685,0.0,top
U3,116.84,-78.94,180.0,top
U4,92.71,-74.93,0.0,top
U5,120.47,-82.55,180.0,bottom
U6,90.17,-82.66,180.0,bottom
